Longitude,Latitude,Name of Enterprise / Group,Ownership and Legal Structure,Primary Contact Person,Position / Role,Phone Number,Physical Street Address / Landmark,E-mail Address,Operational Status, TIN, BRELA Registration Number,1.7 TBS / ZFDA Registration Number,SIDO Registration Number, Operational Scale Classification,Primary Raw Materials Sourced and Used,Primary Sourcing Channels,Months of Severe Shortage / Price Spikes,Estimated Post-Harvest Loss (%),Raw Material Storage Capacity,Storage Capacity Unit, Main Storage Challenges, Nutrient-Dense Crops / Ingredients Cultivated or Harvested, Total Area / Harvest Scale, Area / Harvest Unit,Average Yield per Harvest / Season,Yield Unit, Harvest Cycles per Year,Proximity to Major Road (km),Proximity to Market (km),Accessibility Status,Infrastructure Status,Sanitary Status,Data Status
39.246503,-6.841625,Bakhresa Food Products Ltd.,Large-Scale Commercial Enterprise,Baraka Kweka,Group Chairperson,700000000,"Near Lita Tower, Ilala, Dar es Salaam",bakhresa.food.products.ltd@example.invalid,Active (Operating year-round),TIN-001,BRELA-001,TBS-001,Not applicable,Medium-scale (50–99 employees),Small Pelagic Fish (Dagaa / Omena); Groundnuts / Bambara Groundnuts; Whole Eggs / Powdered Eggs; Soybeans,Own Farm / Direct Harvesting; Commercial Aggregators / Middlemen; Open-Air Public / Wholesale Markets,Dec; Oct,5.7,41.6,Tons,None; Moisture/Humidity,Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP),32.9,Acres,5,100kg Bags,1 Season,4.8,2.47,Low Accessibility,High,Low,HYPOTHETICAL / TESTING DATA
39.257418,-6.836199,Azania Mills Headquarter,Large-Scale Commercial Enterprise,Zawadi Mwakalinga,Operations Coordinator,700000001,"Near Lita Tower, Ilala, Dar es Salaam",azania.mills.headquarter@example.invalid,Active (Operating year-round),TIN-002,BRELA-002,TBS-002,Not applicable,Medium-scale (50–99 employees),Groundnuts / Bambara Groundnuts; Cassava / Banana / Plantain,Own Farm / Direct Harvesting,May; Feb; Jul,7.9,171.4,Tons,None,Edible Seaweed; High-Iron and Zinc Beans,2.6,Acres,564,Kg,Year-round,2.09,8.99,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.206424,-6.797928,Azania Mills Bakwata,Large-Scale Commercial Enterprise,Asha Nassoro,Secretary,700000002,"Near Ubungo Plaza, Ubungo, Dar es Salaam",azania.mills.bakwata@example.invalid,Active (Operating year-round),TIN-003,BRELA-003,TBS-003,Not applicable,Large Industrial Processor (100+ employees),Sorghum / Finger Millet; Whole Eggs / Powdered Eggs; Edible Seaweeds; Groundnuts / Bambara Groundnuts; Soybeans,Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,Jan; Feb,3.5,28.3,Tons,Moisture/Humidity,Orange-Fleshed Sweet Potatoes (OFSP),30.8,Hectares,359,Kg,Year-round,4.56,8.34,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.221595,-6.792132,21st Century Food & Packaging Limited,Large-Scale Commercial Enterprise,Joyce Mwita,Farm Supervisor,700000003,"Near Sinza Mori Bus Stand, Sinza, Dar es Salaam",21st.century.food.packaging.limited@example.invalid,Active (Operating year-round),TIN-004,BRELA-004,TBS-004,Not applicable,Large Industrial Processor (100+ employees),Soybeans; Orange-Fleshed Sweet Potatoes (OFSP),Open-Air Public / Wholesale Markets; Contracted Smallholder Farmers / Outgrowers,Apr; Dec; Jul,7.4,13,Bags,Lack of Cold Storage,High-Iron and Zinc Beans,6.5,Acres,7,100kg Bags,Year-round,2.28,4.72,Moderately Accessible,High,Low,HYPOTHETICAL / TESTING DATA
39.294525,-6.85385,East Coast Oils and Fats Limited,Large-Scale Commercial Enterprise,Joyce Kweka,Farm Supervisor,700000004,"Near Kurasini Trade and Logistics Centre, Kurasini, Dar es Salaam",east.coast.oils.and.fats.limited@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-005,BRELA-005,TBS-005,Not applicable,Large Industrial Processor (100+ employees),Cassava / Banana / Plantain; Sorghum / Finger Millet; Milk / Dairy Products; Edible Seaweeds; High-Iron and Zinc Beans,Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen; Contracted Smallholder Farmers / Outgrowers,Aug,4.4,531,Bags,Mold/Aflatoxins; None,Edible Seaweed,7.1,Acres,3286,Kg,Year-round,2.02,8.68,Low Accessibility,Low,High,HYPOTHETICAL / TESTING DATA
39.278423,-6.820533,Azam Bakery,Large-Scale Commercial Enterprise,Zawadi Magesa,Group Chairperson,700000005,"Near Kariakoo Market, Kariakoo, Dar es Salaam",azam.bakery@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-006,BRELA-006,TBS-006,Not applicable,Medium-scale (50–99 employees),High-Iron and Zinc Beans; Cassava / Banana / Plantain; Soybeans; Milk / Dairy Products,Commercial Aggregators / Middlemen; Contracted Smallholder Farmers / Outgrowers; Open-Air Public / Wholesale Markets,Sep,3.7,76.1,Tons,Insect Pests,Edible Seaweed; High-Iron and Zinc Beans,2,Number of Boats (for Dagaa),3,100kg Bags,2 Seasons,0.56,3.2,Moderately Accessible,High,High,HYPOTHETICAL / TESTING DATA
39.275686,-6.819163,Kariakoo market,Medium-Scale Commercial Enterprise,Emmanuel Mushi,Group Chairperson,700000006,"Near Kariakoo Market, Kariakoo, Dar es Salaam",kariakoo.market@example.invalid,Active (Operating year-round),TIN-007,BRELA-007,Not registered,Not applicable,Small-scale (5–49 employees),Soybeans; Whole Eggs / Powdered Eggs,Commercial Aggregators / Middlemen; Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,May; Dec,10.8,11.5,Tons,None; Moisture/Humidity,Small Pelagic Fish (Dagaa) / Freshwater Fish; Bambara Groundnuts / Soybeans; Edible Seaweed,3.2,Hectares,723,Kg,2 Seasons,3.36,4.91,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.274769,-6.821372,Mwangaza Lishe Foods,Medium-Scale Commercial Enterprise,Juma Mwita,Owner-Manager,700000007,"Near Kariakoo Market, Kariakoo, Dar es Salaam",mwangaza.lishe.foods@example.invalid,Active (Operating year-round),TIN-008,BRELA-008,Not registered,Not applicable,Small-scale (5–49 employees),Orange-Fleshed Sweet Potatoes (OFSP); Whole Eggs / Powdered Eggs; Groundnuts / Bambara Groundnuts; Sorghum / Finger Millet,Commercial Aggregators / Middlemen; Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,Dec; Sep,6.7,42,Bags,Lack of Cold Storage,Edible Seaweed,7.7,Acres,9.2,Tons,2 Seasons,4.51,8.81,Low Accessibility,Low,Low,HYPOTHETICAL / TESTING DATA
39.169413,-6.797866,Afya Kwanza Agro Foods,Women-Led Cooperative,Agnes Mhando,Owner-Manager,700000008,"Near Mabibo Market, Mabibo, Dar es Salaam",afya.kwanza.agro.foods@example.invalid,Active (Operating year-round),TIN-009,BRELA-009,Not registered,Not applicable,Small-scale (5–49 employees),Groundnuts / Bambara Groundnuts; Sorghum / Finger Millet,Commercial Aggregators / Middlemen,Jul; Apr,17.7,74,Bags,Insect Pests,Bambara Groundnuts / Soybeans; Orange-Fleshed Sweet Potatoes (OFSP); Small Pelagic Fish (Dagaa) / Freshwater Fish,11.1,Hectares,35,100kg Bags,2 Seasons,0.75,0.39,Highly Accessible,High,Low,HYPOTHETICAL / TESTING DATA
39.182229,-6.734126,Upendo Nutri Producers,Women-Led Cooperative,Hassan Nassoro,Group Chairperson,700000009,"Near Mbezi Beach Africana Bus Stand, Mbezi Beach, Dar es Salaam",upendo.nutri.producers@example.invalid,Active (Operating year-round),TIN-010,BRELA-010,Not registered,SIDO-010,Medium-scale (50–99 employees),Milk / Dairy Products; Edible Seaweeds,Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen; Own Farm / Direct Harvesting,Oct,15.1,105,Bags,Lack of Cold Storage,High-Iron and Zinc Beans; Edible Seaweed,7.3,Hectares,67,100kg Bags,2 Seasons,4.74,6.82,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
